turnover,age,gender_cent,gender_raw,educ_cent,educ_raw,manager_cent,manager_raw,cont_hour,cont_type_cent,cont_type_raw,lmx_cent,lmx_raw,infoshare_cent,infoshare_raw,voice_cent,voice_raw,paysatis_cent,paysatis_raw,fairness_cent,fairness_raw,proact,careeropp_cent,careeropp_raw
2.00,-17.36,0.57,1.00,1.08,5.00,-0.24,0.00,-31.56,-0.80,0.00,-0.07,3.67,0.48,4.00,0.56,3.75,0.63,4.00,0.20,3.57,0.06,-1.29,2.00
1.33,-20.36,-0.43,0.00,-1.92,2.00,0.76,1.00,6.44,-0.80,0.00,0.59,4.33,-0.02,3.50,0.06,3.25,1.63,5.00,0.57,3.94,-0.74,0.71,4.00
1.33,-19.36,0.57,1.00,-1.92,2.00,-0.24,0.00,-15.56,-0.80,0.00,0.09,3.83,0.48,4.00,-0.19,3.00,0.96,4.33,0.20,3.57,-0.94,-0.96,2.33
2.00,-15.36,-0.43,0.00,0.08,4.00,-0.24,0.00,-31.56,0.20,1.00,0.93,4.67,-2.02,1.50,-0.94,2.25,0.30,3.67,-0.18,3.19,-0.14,-2.29,1.00
3.33,-6.36,-0.43,0.00,-0.92,3.00,-0.24,0.00,6.44,0.20,1.00,0.01,3.75,-2.52,1.00,-1.19,2.00,-1.04,2.33,-0.43,2.94,-0.94,-0.29,3.00
1.67,0.64,-0.43,0.00,-0.92,3.00,0.76,1.00,6.44,0.20,1.00,-0.41,3.33,-0.52,3.00,0.06,3.25,-1.04,2.33,-0.12,3.25,0.06,-0.29,3.00
2.33,-14.36,-0.43,0.00,-0.92,3.00,-0.24,0.00,6.44,0.20,1.00,0.18,3.92,1.48,5.00,1.56,4.75,-0.04,3.33,0.13,3.50,-0.14,0.37,3.66
2.00,-19.36,-0.43,0.00,-1.92,2.00,-0.24,0.00,6.44,-0.80,0.00,-0.07,3.67,1.48,5.00,1.56,4.75,-0.04,3.33,-0.05,3.32,-0.94,0.71,4.00
4.00,-17.36,-0.43,0.00,-1.92,2.00,-0.24,0.00,4.44,0.20,1.00,-0.74,3.00,-0.02,3.50,0.06,3.25,-0.70,2.67,-0.62,2.75,-0.54,-1.29,2.00
1.33,-9.36,-0.43,0.00,-0.92,3.00,0.76,1.00,6.44,0.20,1.00,0.93,4.67,-0.02,3.50,0.31,3.50,-0.37,3.00,-0.05,3.32,0.46,-0.29,3.00
2.33,-2.36,-0.43,0.00,-0.92,3.00,0.76,1.00,6.44,0.20,1.00,0.18,3.92,-0.52,3.00,-0.19,3.00,-0.04,3.33,-0.12,3.25,0.06,0.04,3.33
2.67,-1.36,-0.43,0.00,-0.92,3.00,0.76,1.00,6.44,0.20,1.00,0.09,3.83,-0.52,3.00,-0.44,2.75,-0.04,3.33,0.07,3.44,0.06,-0.29,3.00
1.33,-19.36,-0.43,0.00,-1.92,2.00,-0.24,0.00,8.44,-0.80,0.00,-0.32,3.42,-1.02,2.50,-0.44,2.75,0.30,3.67,0.32,3.69,-1.34,0.71,4.00
2.67,-2.36,-0.43,0.00,-0.92,3.00,0.76,1.00,8.44,0.20,1.00,-0.57,3.17,-0.52,3.00,-0.19,3.00,-0.37,3.00,-0.49,2.88,-0.94,-0.29,3.00
3.00,-14.36,-0.43,0.00,-1.92,2.00,-0.24,0.00,6.44,0.20,1.00,-0.24,3.50,-0.02,3.50,-1.19,2.00,-0.37,3.00,-0.05,3.32,-0.34,-0.63,2.66
1.33,20.64,-0.43,0.00,-1.92,2.00,-0.24,0.00,-1.56,0.20,1.00,0.18,3.92,0.48,4.00,0.06,3.25,-0.70,2.67,0.07,3.44,1.06,0.37,3.66
1.33,3.64,-0.43,0.00,-0.92,3.00,0.76,1.00,6.44,0.20,1.00,-0.16,3.58,-1.52,2.00,-0.69,2.50,-0.70,2.67,-0.05,3.32,-0.14,-0.96,2.33
1.33,-20.36,-0.43,0.00,-1.92,2.00,-0.24,0.00,8.44,0.20,1.00,-0.16,3.58,-1.02,2.50,1.06,4.25,0.63,4.00,0.51,3.88,-0.54,0.71,4.00
1.67,-12.36,-0.43,0.00,-0.92,3.00,-0.24,0.00,6.44,0.20,1.00,0.84,4.58,0.48,4.00,0.81,4.00,-0.37,3.00,-0.37,3.00,-0.54,0.71,4.00
